,dsc,prec,rec,th_jacc
0,0.9408856405846947,0.9626127116780294,0.9201177212528905,0.8883702049928963
1,0.8634453781512605,0.970102281667978,0.7779179810725552,0.7597042513863216
2,0.6046511627906976,0.44138026607538805,0.9596263934920156,0.0
3,0.8439918533604888,0.9727699530516432,0.7453237410071942,0.7300916138125441
0,0.8007975348921516,1.0,0.6677750906892382,0.6677750906892382
1,0.6410918480265585,0.9916317991631799,0.47365552325581395,0.0
2,0.5205479452054794,0.946058091286307,0.3590551181102362,0.0
3,0.9572457245724573,0.9810885608856088,0.9345342706502636,0.9179974104445403
4,0.7838541666666666,0.6596055514974434,0.9657754010695188,0.0
5,0.6301071927916732,0.7250625670361102,0.5571428571428572,0.0
0,0.8810163694111899,0.9356512714063311,0.832409972299169,0.7873362445414848
1,0.8606564788859752,0.8038851351351352,0.9260556528507492,0.7553968253968254
2,0.891640866873065,0.9896907216494846,0.8112676056338028,0.8044692737430168
3,0.8994878361075545,0.9329349269588313,0.8683559950556242,0.8173356602675974
4,0.6469786460699682,0.9888888888888889,0.48075624577987847,0.0
5,0.821071752951862,0.9826086956521739,0.7051482059282371,0.6964560862865947
0,0.8513119533527697,0.9986320109439124,0.741869918699187,0.7411167512690355
1,0.8901374933897409,0.9395757744906503,0.8456417985430796,0.8020250148898154
2,0.901462174189447,0.9902234636871509,0.8273045507584598,0.8206018518518519
3,0.890840652446675,0.9888579387186629,0.8105022831050228,0.8031674208144797
4,0.8718421537894154,0.8436830835117773,0.9019458222052652,0.7728015691402419
5,0.977675430179748,0.9942753057507155,0.9616207373851768,0.9563258665999249
6,0.9505841627001298,0.9747958821441249,0.9275460226313123,0.9058222002309088
0,0.8645353562720131,0.9942358622838449,0.764769322947873,0.7613934621808638
1,0.8608441287087338,0.9163701067615658,0.8116627265563435,0.7556859867938371
2,0.7270692260339134,0.9463869463869464,0.5902771467514766,0.0
