,dsc,prec,rec,th_jacc
0,0.9339930519002,0.9235894232771185,0.944633730834753,0.8761603792218052
1,0.9096035030891968,0.8402039007092199,0.9914999346148816,0.8341951809880075
2,0.5852933894528348,0.4140105078809107,0.9983108108108109,0.0
3,0.9744852282900627,0.9768902849450303,0.9720919848180397,0.9502400698384985
4,0.9498345703299651,0.9267143604955506,0.9741379310344828,0.9044618528610354
5,0.9681198386787018,0.9726027397260274,0.96367807302619,0.9382095663502699
6,0.9694707453265355,0.9445890005913661,0.9956987906744795,0.940750338653631
0,0.9353233830845771,0.8867924528301887,0.9894736842105263,0.8785046728971962
1,0.8696189240936323,0.7711688027166174,0.9968847352024922,0.7693148289804393
2,0.9399930627818245,0.8988391376451078,0.985096328607779,0.8867801047120419
3,0.9775423728813559,0.962653870227415,0.9928986442866365,0.9560712805636138
4,0.947989933535523,0.9184745232885276,0.9794652976865125,0.9011224927927375
0,0.8452073419442556,0.7444910179640719,0.977437106918239,0.7319126390769412
1,0.9806504734458625,0.9896593112362663,0.9718041704442429,0.9620355411954766
0,0.8615461098682575,0.7636043181317471,0.9883090960935272,0.756768558951965
1,0.7804171494785631,0.6451767410671521,0.9873918780237502,0.0
2,0.7128386336866902,0.5568641884431358,0.9901832460732984,0.0
3,0.943979628955984,0.8982346832814122,0.9946339593714066,0.8939028591112642
4,0.9687125676776388,0.9716455209534794,0.9657972676029426,0.9393235458093291
5,0.9429892141756548,0.8952679782903663,0.996084351559183,0.892128279883382
6,0.7326965851105587,0.6315552046915529,0.8724100327153762,0.0
7,0.9497687769095838,0.9251320285803044,0.9757536041939712,0.904342544791983
0,0.9133994541702722,0.8573035111833063,0.9773504273504273,0.8406027934329822
1,0.9779888574299023,0.9793305286263033,0.9766508573513316,0.9569258266309205
2,0.9725490196078431,0.9654928331268802,0.9797091039683965,0.9465648854961832
3,0.9075438667915157,0.8442660202999546,0.9810756095414136,0.8307371245434896
