,dsc,prec,rec,th_jacc
0,0.9136513157894737,0.9773477017813943,0.8577494692144374,0.8410295230885693
1,0.8906968517863459,0.990558615263572,0.8091259640102828,0.8029336734693877
2,0.5962828127993869,0.4312638580931264,0.9658597144630664,0.0
3,0.8472390165255945,0.9868544600938968,0.742231638418079,0.734965034965035
0,0.9250157529930687,0.996831145314622,0.8628526645768025,0.8604923798358733
1,0.8049766718506999,0.9844047166222899,0.6808734543541174,0.6736074960957834
2,0.7433188315724052,0.9925311203319502,0.5941381023348237,0.0
3,0.9642695612844867,0.9833948339483395,0.9458740017746229,0.9310043668122271
4,0.8424022571543732,0.7633308984660336,0.939748201438849,0.7277158774373259
5,0.8350061630568762,0.8476939578119413,0.8226925746009716,0.7167472793228536
0,0.880802425938885,0.9797612869745719,0.8,0.7869945810754481
1,0.6784799316823228,0.5368243243243244,0.9216937354988399,0.0
2,0.8996282527881041,0.9875429553264605,0.8260869565217391,0.8175675675675675
3,0.9179272610234953,0.9468791500664011,0.8906933166770769,0.8483045806067817
4,0.5595935912465807,0.9944444444444445,0.38934203371397497,0.0
5,0.6851990984222389,0.991304347826087,0.5235361653272101,0.0
0,0.9090909090909091,0.9986320109439124,0.8342857142857143,0.8333333333333334
1,0.9249966456460486,0.9620429807423947,0.8906976744186047,0.8604593110334499
2,0.9274983670803396,0.9916201117318436,0.8711656441717791,0.8647990255785627
3,0.8161010260457774,0.7200557103064067,0.941712204007286,0.6893333333333334
4,0.8704545454545455,0.8201284796573876,0.927360774818402,0.7706237424547284
5,0.9804474645810629,0.9949258391881343,0.9663844306836851,0.9616448692152918
6,0.9700400627068455,0.9884629037983671,0.9522913816689467,0.9418231016404532
0,0.8460674899293403,0.9979747624240536,0.7342961944062357,0.733203616802106
1,0.8748997594226142,0.9706405693950177,0.7963503649635036,0.7776193870277975
2,0.6794343265668215,0.9484265734265734,0.5293113261240752,0.0
