,dsc,prec,rec,th_jacc
0,0.9290475166630832,0.8996460545492401,0.9604356523671927,0.8674964866492673
1,0.9115492286616237,0.8479609929078015,0.9854475209272376,0.837474006785597
2,0.5326994732108441,0.3630472854640981,1.0,0.0
3,0.9616978428410984,0.92857677062299,0.9972690763052209,0.9262215591197315
4,0.944591510725696,0.9028092828476706,0.9904287901990811,0.895000864902266
5,0.9604648947318282,0.9726027397260274,0.9486262702295822,0.9239369501466276
6,0.9400826446280992,0.8879361324659965,0.9987361979513104,0.8869395711500975
0,0.8412142440163456,0.9062893081761006,0.7848583877995643,0.7259445843828716
1,0.8079729025534133,0.6793734253477928,0.9966254218222722,0.6778142076502732
2,0.9504166322910651,0.9552238805970149,0.9456575274995895,0.905518000314416
3,0.9820561536837661,0.9705820988942208,0.9938047425763725,0.9647449191206968
4,0.9522237327636435,0.9195998749609253,0.9872474662729043,0.9088044485634847
0,0.4880963157418304,0.322874251497006,0.9996292176492398,0.0
1,0.22425479787668437,0.12676576493398578,0.9710042432814711,0.0
0,0.8438453713123093,0.7309980171844018,0.9978947368421053,0.7298724153101628
1,0.8036560982576407,0.673819331353578,0.9954712708746108,0.6717600993219368
2,0.8151658767772512,0.6963562753036437,0.9828571428571429,0.688
3,0.9422238372093024,0.8975424022152995,0.9915869980879541,0.8907591892820337
4,0.964192483869379,0.9407920030757401,0.9887867461359733,0.9308606752258678
5,0.906716590394305,0.8317079375848032,0.9965958744030078,0.8293518244471693
6,0.8149007476153648,0.7129807150107139,0.9508196721311475,0.6876223624102675
7,0.9446021234100704,0.9305167236201719,0.9591205037890916,0.8950199203187251
0,0.9653496995269147,0.9433962264150944,0.9883492603743945,0.9330202669303015
1,0.9786414886790723,0.9764038778123285,0.9808893789048144,0.9581762699694848
2,0.9725953788285868,0.9608918775437976,0.9845874886672711,0.946652719665272
3,0.9095106567176485,0.8355552189062263,0.9978290366350068,0.8340390140632088
