,dsc,prec,rec,th_jacc
0,0.8383977900552486,1.0,0.7217598097502973,0.7217598097502973
1,0.13208995318136466,0.07071537165632576,1.0,0.0
2,0.2714013239088971,0.1570065554618031,1.0,0.0
3,0.1781291958824407,0.10284237726098192,0.6648106904231625,0.0
4,0.9735814076673509,0.9708173775254193,0.9763612217795484,0.9485227712553219
5,0.7106937291729779,1.0,0.5512218045112782,0.0
6,0.916652064715846,0.8564723859419341,0.9859278803869833,0.8461289626913953
7,0.9470899470899471,0.9913464866735895,0.9066160177271289,0.8994974874371859
8,0.9730359055558143,0.964546209952913,0.9816763766209359,0.9474877562125884
9,0.9614413787100705,0.9773491417448239,0.9460431654676259,0.9257458933959102
10,0.9018296160426653,0.8216261760988626,0.9993850778901339,0.821211015355248
11,0.981314232326378,0.9817728618164823,0.9808560311284047,0.9633139712626109
12,0.9594873663751214,0.93418095801301,0.9862030216006992,0.9221294728854124
13,0.965513599155004,0.9431489888567891,0.9889646218760143,0.9333265264447621
0,0.8946764570904084,0.8589997796871558,0.933445056260474,0.8094249532904297
1,0.9407954398238114,0.9980758658603628,0.8897329086008331,0.8882093933463796
2,0.9392712550607287,0.9656607700312175,0.9142857142857143,0.8854961832061069
3,0.9492152354293711,0.9258898098488543,0.973746282432571,0.903339358767006
4,0.7890947221251311,0.6576555581449546,0.9861960510221912,0.6516568525574414
5,0.8727726115642371,0.804674777277517,0.9534619750283768,0.774264909208222
6,0.9391416447333083,0.8871524254110006,0.9976035604245121,0.8852658227848101
7,0.9613906492580998,0.9638191467646459,0.958974358974359,0.9256518329739267
8,0.9692259479786901,0.9661376983631138,0.9723340040241448,0.9402894320807491
9,0.9556140350877192,0.9963416864825315,0.9180852856902073,0.9150008399126491
10,0.9737517099863201,0.9658242876526458,0.9818103448275862,0.9488461218028826
11,0.9203282266866082,0.8622935918800182,0.9867383201872237,0.8524148259078996
12,0.7051311288483466,0.5458075904677846,0.9958132045088567,0.0
13,0.9073507909078825,0.8305483452303699,0.9998047065716239,0.8304136253041362
0,0.9063052445492045,0.9606495940037476,0.8577802565532627,0.8286637931034483
1,0.9531009379812404,1.0,0.9104038512971383,0.9104038512971383
2,0.7192908842966538,0.5636662556514591,0.9936241124474714,0.0
3,0.9614448231596654,0.94971578487101,0.9734671925421298,0.9257522802830108
4,0.9411861886667768,0.9888908175663947,0.8978723404255319,0.8889062256202216
5,0.8922263941037408,0.9619190404797601,0.8319502074688797,0.8054230479538037
6,0.8835341365461847,1.0,0.7913669064748201,0.7913669064748201
7,0.9729744530544071,0.9616779431664412,0.9845395101407514,0.9473712274714727
8,0.9665714965500832,0.9795647718367593,0.9539184032873496,0.9353056291009555
9,0.9676734755750938,0.954827611996111,0.9808696988322065,0.9373715124816446
10,0.9412302348962618,0.9475524475524476,0.934991828581805,0.8889848066298343
11,0.8860776131173397,0.8073652694610779,0.9817956746522973,0.7954572271386431
12,0.9431184330003891,0.9090965926852141,0.9797857287244794,0.8923596195151887
13,0.9535125501262439,0.9972041006523765,0.9134889015367103,0.9111552653988079
0,0.9666894431158183,0.9888170539926612,0.945530492898914,0.9355265333112911
1,0.8888506735454285,0.8395235517054683,0.9443361753958587,0.7999380932728023
2,0.698292080120993,0.5364429834504647,1.0,0.0
3,0.8864333947206875,0.9401041666666666,0.8385598141695703,0.7960308710033076
4,0.8810984516505989,0.9621437686091026,0.8126459493443506,0.787467362924282
5,0.8009782425366841,0.8357972544878564,0.7689443005181347,0.6680264453509636
6,0.7369438033385218,0.601138353765324,0.9520177506587159,0.0
7,0.9617532104969291,0.9933679354094579,0.9320887445887446,0.9263242807206238
8,0.9352358303606817,0.9782752902155887,0.8958238420653,0.8783502084574152
9,0.9572024164043224,0.9815041005060199,0.9340750581202258,0.9179177545691906
10,0.979514671224717,0.9863863968287085,0.9727380278792244,0.9598517916962744
11,0.9539529213167026,0.9812849700945399,0.9281021897810219,0.9119598350367581
12,0.9395732667354363,0.9758655689635728,0.9058835845896147,0.8860331763260291
13,0.9330679933665008,0.9121919584954604,0.9549219280380177,0.8745336980850534
0,0.9469095895778235,0.910177949345636,0.9867306318260692,0.8991721700306948
1,0.8607734806629834,0.7634759882391375,0.986492190797805,0.7555771096023278
2,0.8161746464897048,0.6908861822763545,0.996969696969697,0.6894383906119028
3,0.8609097270818754,0.7575369458128078,0.9969529983792544,0.7557870939204797
4,0.6604789570639081,0.5137220324038355,0.9246181313231502,0.0
5,0.9216549295774648,0.9281914893617021,0.9152097902097902,0.8546938775510204
6,0.9391543728382862,0.9173964007446735,0.9619694888294411,0.8852884423448001
7,0.9562300580872126,0.9967593382227529,0.9188679245283019,0.9161310550242985
8,0.9291617473435655,0.989937106918239,0.8754171301446051,0.8676957001102535
9,0.9130827974276527,0.9953992770292475,0.8433410672853828,0.8400665618933161
10,0.8177592954990215,0.7250054218173931,0.9377279102384292,0.6917028760604179
11,0.9667183754054435,0.9908933217692975,0.9436949339207048,0.9355807288112461
12,0.9402482570991328,0.9186602870813397,0.9628752524900746,0.8872344522174443
